ID,Grade,Source,Body,Question,Solution-Type,Answer,Formula
nluds-0015,1,http://www.k5learning.com,Eight balls were in the basket. Some of the balls were removed from the basket. Now there are six balls.,How many balls were removed from the basket? ,Subtraction,2 (balls),8-6=2
nluds-0016,1,http://www.k5learning.com,Some oranges were in the basket. Five oranges were taken from the basket. Now there are three oranges.,How many oranges were in the basket before some of the oranges were taken?,Addition,8 (oranges),5+3=8
nluds-0017,1,http://www.k5learning.com,Jake has six fewer peaches than Steven. Steven has 13 peaches.,How many peaches does Jake have? ,Subtraction,7 (peaches),13-6=7
nluds-0018,1,http://www.k5learning.com,David has zero fewer apples than Marin. Marin has three apples.,How many apples does David have?,Subtraction,3 (apples),3-0=3
nluds-0019,1,http://www.k5learning.com,Jake has 34 fewer balls than Audrey. Audrey has 41 balls.,How many balls does Jake have?,Subtraction,7 (balls),41-34=7
nluds-0020,1,http://www.k5learning.com,Brian has zero fewer oranges than Marcie. Marcie has 12 oranges.,How many oranges does Brian have? ,Subtraction,12 (oranges),12-0=12
nluds-0021,1,http://www.k5learning.com,2 birds were sitting on the fence. 4 more birds came to join them.,How many birds are sitting on the fence?,Addition,6 (birds),2+4=6
nluds-0022,1,http://www.k5learning.com,You have 7 cookies and you ate 2 of them.,How many cookies do you have left?,Subtraction,5 (cookies),7-2=5
nluds-0023,1,http://www.k5learning.com,You have collected 7 crickets.,How many more crickets do you need to collect to have 11 crickets?,Subtraction,4 (crickets),11-7=4
nluds-0024,1,http://www.k5learning.com,4 birds are sitting on a branch. 1 flies away.,How many birds are left on the branch?,Subtraction,3 (birds),4-1=3
nluds-0025,1,http://www.k5learning.com,3 raccoons are playing in the woods. 2 go home to eat dinner.,How many raccoons are left in the woods?,Subtraction,1 (raccoons),3-2=1
nluds-0026,1,http://www.k5learning.com,"1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too.",How many pigeons are eating breadcrumbs now?,Addition,2 (pigeons),1+1=2
nluds-0027,1,http://www.k5learning.com,3 owls were sitting on the fence. 2 more owls joined them.,How many owls are on the fence now?,Addition,5 (owls),3+2=5
nluds-0028,1,http://www.k5learning.com,2 beavers were working on their home. 1 went for a swim.,How many beavers are still working on their home?,Subtraction,1 (beavers),2-1=1
nluds-0029,1,http://www.k5learning.com,2 toucans are sitting on a tree limb. 1 more toucan joins them.,How many toucans in all?,Addition,3 (toucans),2+1=3
nluds-0030,1,http://www.k5learning.com,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime.",Who has more money?,Comparison,Mrs. Hilt,2*1  (cent)+2 (dime)*10 (cent/dime) +2 (nickel)*5 (cent/nickel)=32 cents(Mrs. Hilt) > 4*1 (cent)+1 (nickel)*5 (cent/nickel) +1  (dime)*10 (cent/dime)=19 cents(Jacob)
nluds-0031,1,http://www.k5learning.com,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime.",How much more?,Subtraction,13 (pennies),(2*1  (cent)+2 (dime)*10 (cent/dime) +2 (nickel)*5 (cent/nickel)) - (4*1 (cent)+1 (nickel)*5 (cent/nickel) +1  (dime)*10 (cent/dime)) = 13 (cent)
nluds-0032,1,http://www.k5learning.com,"Mrs. Hilt found a quarter, 1 dime, and 2 nickels.",How much money did she find?,Sum,45 (cents),1 (quarter)*25 (cent/quarter) + 1 (dime)*10 (cent/dime) + 2 (nickel)*5 (cent/nickel) = 45 (cent)
nluds-0033,1,http://www.k5learning.com,"Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins.",How many muffins does first grade bake in all?,Sum,55 (muffins),18+20+17=55
nluds-0034,1,http://www.k5learning.com,Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents.,How much did she spend in all for the two toys?,Addition,38 (cents),24+14=38
nluds-0035,1,http://www.k5learning.com,Mrs. Hilt made 5 Rice Krispie Treats. She used 8 large marshmallows and 10 mini marshmallows.,How many marshmallows did she use altogether?,Addition,18 (marshmallows),8+10=18
nluds-0036,1,http://www.k5learning.com,"At Mrs. Hilt's house, there was 29 inches of snow, and Brecknock Elementary School received 17 inches of snow.",How much more snow did Mrs. Hilt's house have?,Subtraction,12 (inches of snow),29-17=12
nluds-0037,1,http://www.k5learning.com,Mrs. Hilt has $10. She spends $3 on a toy truck and $2 on a pencil case.,How much money does she have left?,Subtraction,5 (dollars),10-(3+2)=5
nluds-0038,1,http://www.k5learning.com,Mrs. Hilt reads 5 books a day.,How many books does she read in 3 days?,Sum,15 (books),5+5+5=15
nluds-0039,1,http://www.k5learning.com,Mrs. Hilt saw 2 dogs and 2 chickens.,How many animal legs did she see?,Addition,12 (legs),(4+4)+(2+2)=12
nluds-0040,1,http://www.k5learning.com,Mrs. Hilt saw 3 bugs eat two flowers each.,How many flowers total did the bugs eat?,Sum,6 (flowers),2+2+2=6
nluds-0041,1,http://www.k5learning.com,Mrs. Hilt has 15 friends. She can only take 8 of her friends to the movies.,How many friends can't go to the movies?,Subtraction,7 (friends),15-8=7
nluds-0042,1,http://www.k5learning.com,"Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday.",How many total miles did she run that week?,Sum,12 (miles),3+2+7=12
nluds-0043,1,http://www.k5learning.com,Mrs. Hilt picked up a book that has 17 pages in it. She read 11 of the pages.,How many pages did she have left to read?,Subtraction,6 (pages),17-11=6
nluds-0044,1,http://www.k5learning.com,Mrs. Hilt had 15 cents. She bought a pencil for 11 cents.,How much money did she have left?,Subtraction,4 (cents),15-11=4
nluds-0045,1,http://www.k5learning.com,Mrs. Hilt met 15 friends. Nine of the friends were carrying pears. The rest were carrying oranges.,How many friends were carrying oranges?,Subtraction,6 (friends),15-9=6
nluds-0046,1,http://www.k5learning.com,Mrs. Hilt spent 25 cents on one caramel apple and 15 cents on one ice cream cone.,How much more did the apple cost?,Subtraction,10 (cents),25-15=10
nluds-0047,1,http://www.k5learning.com,Mrs. Hilt bought 2 pizzas. Each pizza had 8 slices.,How many total slices of pizza did she have?,Addition,16 (slices),8+8=16
nluds-0048,1,http://www.k5learning.com,Mrs. Hilt read 2 books per day.,How many books did she read in one week?,Sum,14 (books),2+2+2+2+2+2+2=14
nluds-0049,1,http://www.k5learning.com,Mrs. Hilt ate 5 apples every hour.,How many apples had she eaten at the end of 3 hours?,Sum,15 (apples),5+5+5=15
nluds-0050,1,http://www.k5learning.com,Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it.,How many pieces of candy did Mrs. Hilt give away?,Sum,18 (pieces),2+2+2+2+2+2+2+2+2=18
nluds-0051,1,http://www.k5learning.com,Mary's mom is getting ready for Mary's birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon.,How many balloons did she blow up in all?,Addition,11 (balloons),6+5=11
nluds-0052,1,http://www.k5learning.com,"Shelby's teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more.",How many gold stars did Shelby earn in all?,Addition,7 (gold stars),4+3=7
nluds-0053,1,http://www.k5learning.com,The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday.,How many pieces of litter did they pick up altogether?,Addition,18 (pieces),10+8=18
nluds-0054,1,http://www.k5learning.com,Millie had 9 bracelets. She lost 2 of them.,How many bracelets does Millie have left?,Subtraction,7 (bracelets),9-2=7
nluds-0055,1,http://www.k5learning.com,Sammy has 9 math problems to do for homework. He has already finished 2 of them.,How many math problems does Sammy have left?,Subtraction,7 (math problems),9-2=7
nluds-0056,1,http://www.k5learning.com,"There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus.",How many students are left on the bus?,Subtraction,7 (students),10-3=7
nluds-0057,1,http://www.k5learning.com,There were 8 ducks swimming in the pond. 3 ducks flew away.,How many ducks are still swimming in the pond?,Subtraction,5 (ducks),8-3=5
nluds-0058,2,http://www.k5learning.com,Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles.,How many packs of groceries did she buy in all?,Addition,28 (packs),12+16=28
nluds-0059,2,http://www.k5learning.com,Roden went to a pet shop. He bought 15 gold fish and 7 blue fish.,How many fish did he buy?,Addition,22 (fish),15+7=22
nluds-0060,2,http://www.k5learning.com,"I read 21 pages of my English book yesterday. Today, I read 17 pages.",What is the total number of pages did I read?,Addition,38 (pages),21+17=38
nluds-0061,2,http://www.k5learning.com,"In a school, there are 542 girls and 387 boys.",How many pupils are there in that school?,Addition,929 (pupils),542+387=929
nluds-0062,2,http://www.k5learning.com,Linda has 34 candies. Chloe has 28.,How many candies do they have in all?,Addition,62 (candies),34+28=62
nluds-0063,2,http://www.k5learning.com,Jose has 28 chickens and 18 ducks.,How many fowls does he have?,Addition,46 (fowls),28+18=46
nluds-0064,2,http://www.k5learning.com,Gino has 63 popsicle sticks. I have 50 popsicle sticks.,What is the sum of our popsicle sticks?,Addition,113 (popsicle sticks),63+50=113
nluds-0065,2,http://www.k5learning.com,Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon.,How many shells did he pick up in all?,Addition,616 (shells),292+324=616
nluds-0066,2,http://www.k5learning.com,"There were 105 parents in the program and 698 pupils, too.",How many people were present in the program?,Addition,803 (people),105+698=803
nluds-0067,2,http://www.k5learning.com,"Last Saturday, Marie sold 425 magazines and 275 newspapers.",What is the total number of reading materials she sold?,Addition,700 (reading materials),425+275=700
nluds-0068,2,http://www.k5learning.com,There are twelve birds on the fence. Eight more birds land on the fence.,How many birds are on the fence?,Addition,20 (birds),12+8=20
nluds-0069,2,http://www.k5learning.com,Twenty-two boys went down the slide. Thirteen more boys went down the slide.,How many boys went down the slide?,Addition,35 (boys),22+13=35
nluds-0070,2,http://www.k5learning.com,Thirteen ducks are swimming in a lake. Twenty more ducks come to join them.,How many ducks are swimming in the lake?,Addition,33 (ducks),13+20=33
nluds-0071,2,http://www.k5learning.com,Thirty dogs are barking. Ten more dogs start to bark.,How many dogs are barking?,Addition,40 (dogs),30+10=40
nluds-0072,2,http://www.k5learning.com,"Bobby ate twenty-six pieces of candy. Then, he ate seventeen more.",How many pieces of candy did Bobby eat?,Addition,43 (pieces),26+17=43
nluds-0073,2,http://www.k5learning.com,Sandy had twenty-six pet fish. She bought six more fish.,How many pet fish does Sandy have now?,Addition,32 (pet fish),26+6=32
nluds-0074,2,http://www.k5learning.com,The clown blew up forty-seven balloons. Then he blew up thirteen more balloons.,How many balloons does the clown have now?,Addition,60 (balloons),47+13=60
nluds-0075,2,http://www.k5learning.com,Our class got fifty-four books from the library. Then we got twenty-three more books from the library.,How many books did our class get from the library?,Addition,77 (books),54+23=77
nluds-0076,2,http://www.k5learning.com,Tessa has 4 apples. Anita gave her 5 more. She needs 10 apples to make a pie.,Does she have enough to make a pie?,Comparison,Yes,4+5=9 apples < 10 apples
nluds-0077,2,http://www.k5learning.com,Julia played tag with 12 kids on Monday. She played tag with 7 kids on Tuesday.,How many kids did she play with altogether?,Addition,19 (kids),12+7=19
nluds-0078,2,http://www.k5learning.com,Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake.,How old is Molly now?,Addition,20 (years old),14+6=20
nluds-0079,2,http://www.k5learning.com,James ate 22 carrot sticks before dinner and 15 more after dinner.,How many carrot sticks did he eat?,Addition,37 (carrot sticks),22+15=37
nluds-0080,2,http://www.k5learning.com,Charles found 6 pennies on his way to school. He also had 3 nickels already at home.,How much money does he now have in all?,Addition,21 (cents),6 (penny)*1 (cent/penny) + 3 (nickel)*5 (cent/nickel) = 21 (cent)
nluds-0081,2,http://www.k5learning.com,"Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket,",how many pounds does she have?,Addition,17 (pounds),5+12=17
nluds-0082,2,http://www.k5learning.com,"Jovana filled her bucket with 5 pounds of shells. If a friend comes to add 15 pounds of shells, and another friend comes to add 17 pounds of shells,",how many pounds does she have altogether?,Sum,37 (pounds),5+15+17=37
nluds-0083,2,http://www.k5learning.com,"Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long,",how many cubes long are both pencils?,Addition,24 (cubes),12+12=24
nluds-0084,2,http://www.k5learning.com,Isabella's hair is 18 cubes long. She gets hair extensions and it doubles her length.,How much hair does she have now?,Addition,36 (cubes),18+18=36
nluds-0085,2,http://www.k5learning.com,"Isabella's hair is 18 cubes long. If her hair grows 4 more inches,",how long will it be?,Addition,22 (cubes),18+4=22
nluds-0086,2,http://www.k5learning.com,Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats.,How many cats does Mrs. Sheridan have altogether?,Addition,31 (cats),17+14=31
nluds-0087,2,http://www.k5learning.com,Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish.,How many fish does she have now?,Addition,69 (fish),22+47=69
nluds-0088,2,http://www.k5learning.com,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 3 heart biscuits each,",how many biscuits does she need to buy?,Addition,6 (biscuits),3+3=6
nluds-0089,2,http://www.k5learning.com,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 5 heart biscuits each and a set of puppy boots each,",how many items will she buy?,Addition,12 (items),(5+1)+(5+1)=12
nluds-0090,2,http://www.k5learning.com,Cade had 87 marbles. He gave 8 to Dylan.,How many does he have left?,Subtraction,79 (marbles),87-8=79
nluds-0091,2,http://www.k5learning.com,Michael has some fish in his fish tank. Ben gave him 18 more fish. Now he has 49.,How many fish did he have to begin with?,Subtraction,31 (fish),49-18=31
nluds-0092,2,http://www.k5learning.com,Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles.,How many noodles did Daniel have to begin with?,Addition,66 (noodles),54+12=66
nluds-0093,2,http://www.k5learning.com,Hayley had 25 meatballs on her plate. Kirsten stole some of her meatballs. Now she has 11 meatballs on her plate.,How many meatballs did Kirsten steal?,Subtraction,14 (meatballs),25-11=14
nluds-0094,2,http://www.k5learning.com,"Isabella's hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long,",how much of Isabella's hair got cut off?,Subtraction,9 (inches),18-9=9
nluds-0095,2,http://www.k5learning.com,Isabella's hair is 18 inches long. By the end of the year her hair is 24 inches long.,How much hair did she grow?,Subtraction,6 (inches),24-18=6
nluds-0096,2,http://www.k5learning.com,Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells.,How many pounds did she add?,Subtraction,23 (pounds),28-5=23
nluds-0097,2,http://www.k5learning.com,"Isha's pencil is 31 inches long. If she sharpens it, now her pencil is 14 inches long.",How much did she sharpen off of her pencil?,Subtraction,17 (inches),31-14=17
nluds-0098,2,http://www.k5learning.com,"Isha's pencil is 22 inches long. If she sharpens two inches off on Monday and two inches on Tuesday,",how long will her pencil be then?,TVQ-Final,18 (inches),22-2-2=18
nluds-0099,2,http://www.k5learning.com,Mrs. Sheridan has 11 cats.,How many more cats does Mrs. Sheridan need to have 43 cats?,Subtraction,32 (cats),43-11=32
nluds-0100,2,http://www.k5learning.com,Mrs. Wong had 30 Valentines. She gave 8 Valentines to her children.,How many does she have left?,Subtraction,22 (Valentines),30-8=22
nluds-0101,2,http://www.k5learning.com,Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16.,How many Valentines did Mrs. Franklin give to her students?,Subtraction,42 (Valentines),58-16=42
nluds-0102,2,http://www.k5learning.com,Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink.,How many pink cookies did she make?,Subtraction,50 (pink cookies),86-36=50
nluds-0103,2,http://www.k5learning.com,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree.,How many more flew up to the tree?,Subtraction,13 (birds),42-29=13
nluds-0104,2,http://www.k5learning.com,"18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus.",How many children got on the bus at the bus stop?,Subtraction,7 (children),25-18=7
nluds-0105,2,http://www.k5learning.com,There were 28 girls and 35 boys on the playground at recess.,How many children were there in all?,Addition,63 (children),28+35=63
nluds-0106,2,http://www.k5learning.com,The elephant had 407 peanuts. She ate 129 of them.,How many peanuts did the elephant have left?,Subtraction,278 (peanuts),407-129=278
nluds-0107,2,http://www.k5learning.com,There were 58 geese and 37 ducks in the marsh.,How many birds were there in all?,Addition,95 (birds),58+37=95
nluds-0108,2,http://www.k5learning.com,Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all.,How many pieces of gum did Robin's brother give her?,Subtraction,26 (pieces),44-18=26
nluds-0109,2,http://www.k5learning.com,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons.",How many balloons did Tommy have to start with?,Subtraction,26 (balloons),60-34=26
nluds-0110,2,http://www.k5learning.com,Alex had some candles for his Jack O'Lanterns. He used 32 of them. Now he has 12 left.,How many candles did Alex have to start with?,Addition,44 (candles),32+12=44
nluds-0111,2,http://www.k5learning.com,There were 14 kids on the soccer field. 22 kids decided to join in.,Now how many kids are on the soccer field?,Addition,36 (kids),14+22=36
nluds-0112,2,http://www.k5learning.com,Finn has 89 goldfish. 32 of the goldfish die.,How many goldfish are left?,Subtraction,57 (goldfish),89-32=57
nluds-0113,2,http://www.k5learning.com,"Jane has 28 old, brown sheets of drawing paper and 27 old, yellow sheets of drawing paper.",How many pieces of drawing paper does she have?,Addition,55 (pieces of drawing paper),28+27=55
nluds-0114,2,http://www.k5learning.com,Mikey had 356 leaves. Some of her leaves blew away. Now she has 112 leaves left.,How many of her leaves blew away?,Subtraction,244 (leaves),356-112=244
nluds-0115,2,http://www.k5learning.com,Marcus has 210 baseball cards. He has 58 more than Carter.,How many baseball cards does Carter have?,Subtraction,152 (baseball cards),210-58=152
nluds-0116,2,http://www.k5learning.com,Gavin has 23 shirts. 6 are blue the rest are green.,How many green shirts does Gavin have?,Subtraction,17 (green shirts),23-6=17
nluds-0117,2,http://www.k5learning.com,Ethan has 31 presents. Alissa has 22 more than Ethan.,How many presents does Alissa have?,Addition,53 (presents),31+22=53
nluds-0118,2,http://www.k5learning.com,"Cindy had 41 pieces of candy. She ate six pieces in the morning, and twelve more pieces in the afternoon.",How many pieces of candy does she have left?,TVQ-Final,23 (pieces of candy),41-6-12=23
nluds-0119,2,http://www.k5learning.com,Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks.,How many more kicks does he need to make before he goes home?,TVQ-Final,19 (kicks),98-43-36=19
nluds-0120,2,http://www.k5learning.com,Cindy has 105 stickers. She uses 23 stickers. She buys 45 more stickers.,How many stickers does Cindy have now?,TVQ-Final,127 (stickers),105-23+45=127
nluds-0121,2,http://www.k5learning.com,Brian has 39 pencils. He gives 18 pencils to a friend. He buys 22 more pencils.,How many pencils does Brian have now?,TVQ-Final,43 (pencils),39-18+22=43
nluds-0122,2,http://www.k5learning.com,Karen has 252 markers. Her mother gives her 34 more markers. Karen loses 11 markers.,How many markers does she have now?,TVQ-Final,275 (markers),252+34-11=275
nluds-0123,2,http://www.k5learning.com,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week.,How many stickers did Pat have at the end of the week?,Addition,61 (stickers),39+22=61
nluds-0124,2,http://www.k5learning.com,Kelly had 56 apples.,How many more apples does Kelly need to pick to have 105 apples altogether?,Subtraction,49 (apples),105-56=49
nluds-0125,2,http://www.k5learning.com,Todd has some gum. Steve gave him 16 more pieces of gum. Now Todd has 54 pieces of gum.,How many pieces did Todd have to start with?,Subtraction,38 (pieces),54-16=38
nluds-0126,2,http://www.k5learning.com,Josh had 142 pencils. He gave 31 pencils to Dorothy.,How many pencils does Josh have left?,Subtraction,111 (pencils),142-31=111
nluds-0127,2,http://www.k5learning.com,Nell collects baseball cards. She had 304 cards. She gave some of her cards to Jeff and now has 276 cards left.,How many cards did Nell give to Jeff?,Subtraction,28 (cards),304-276=28
nluds-0128,2,http://www.k5learning.com,"Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left.",How many trucks did Sarah have to start with?,Addition,51 (trucks),38+13=51
nluds-0129,2,http://www.k5learning.com,There are 40 boys and some girls on the playground. There are 117 children altogether.,How many girls are on the playground?,Subtraction,77 (girls),117-40=77
nluds-0130,2,http://www.k5learning.com,Each CD rack holds 8 CDs. A shelf can hold four racks.,How many total CDs can fit on the shelf?,Sum,32 (CDs),8+8+8+8=32
nluds-0131,2,http://www.k5learning.com,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles.,How many did she start with?,Subtraction,53 (marbles),187-134=53
nluds-0132,2,http://www.k5learning.com,Paco had 35 cookies. He ate 6 of them.,How many cookies did Paco have left?,Subtraction,29 (cookies),35-6=29
nluds-0133,2,http://www.k5learning.com,Connie has 41 red markers and 64 blue markers.,How many markers does she have altogether?,Addition,105 (markers),41+64=105
nluds-0134,2,http://www.k5learning.com,"Joe had fifty toy cars. If he gets twelve more cars,",how many cars will he have then?,Addition,62 (cars),50+12=62
nluds-0135,2,http://www.k5learning.com,Maria had twenty-five pieces of gum. Tommy gave her sixteen more pieces. Luis gave her twenty more pieces.,How many pieces of gum does Maria have now?,Sum,61 (pieces of gum),25+16+20=61
nluds-0136,2,http://www.k5learning.com,There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs.,How many pigs came to join them?,Subtraction,22 (pigs),86-64=22
nluds-0137,2,http://www.k5learning.com,"Rosa had sixty-seven flowers. Andre gave her some more flowers. Now, Rosa has ninety flowers.",How many flowers did Andre give to Rosa?,Subtraction,23 (flowers),90-67=23
nluds-0138,2,http://www.k5learning.com,Adolfo made a tower with thirty-five blocks. He added some more blocks and now he has sixty-five blocks.,How many did he have to add?,Subtraction,30 (blocks),65-35=30
nluds-0139,2,http://www.k5learning.com,Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells.,How many more did she find?,Subtraction,21 (shells),89-68=21
nluds-0140,2,http://www.k5learning.com,Hugo had seventy-nine stickers in his sticker book. He got some more to add to his book and now he has one hundred-twenty stickers.,How many did he add to his book?,Subtraction,41 (stickers),120-79=41
nluds-0141,2,http://www.k5learning.com,Josh had 16 marbles in his collection. He lost 7 marbles.,How many marbles does he have now?,Subtraction,9 (marbles),16-7=9
nluds-0142,2,http://www.k5learning.com,Megan has 19 seashells.,How many more seashells does she need to find to have 25 seashells in her collection?,Subtraction,6 (seashells),25-19=6
nluds-0143,2,http://www.k5learning.com,Brad has 17 balloons. 8 balloons are red and the rest are green.,How many green balloons does Brad have?,Subtraction,9 (balloons),17-8=9
nluds-0144,2,http://www.k5learning.com,There are 38 books on the shelf. Marta put 10 more books on the shelf.,How many books are on the shelf now?,Addition,48 (books),38+10=48
nluds-0145,2,http://www.k5learning.com,A bee has 6 legs.,How many legs do 8 bees have?,Multiplication,48 (legs),6*8=48
nluds-0146,2,http://www.k5learning.com,Mrs. Hilt bought an ice cream cone for 99 cents.,How much would 2 ice cream cones cost?,Addition,198 (cents),99+99=198 cents
nluds-0147,2,http://www.k5learning.com,Mrs. Hilt wants to make a border around her garden. She needs 125 rocks to complete the border. She has 64 rocks.,How many more rocks does she need to complete the border?,Subtraction,61 (rocks),125-64=61
nluds-0148,2,http://www.k5learning.com,Mrs. Hilt had 38 marbles. She lost 15 of them.,How many marbles does she have left?,Subtraction,23 (marbles),38-15=23
nluds-0149,2,http://www.k5learning.com,Mrs. Hilt and her sister drove to a concert 78 miles away. They drove 32 miles and then stopped for gas. Her sister put 28 gallons of gas in the car.,How many miles did they have left to drive?,Subtraction,46 (miles),78-32=46
nluds-0150,2,http://www.k5learning.com,Mrs. Hilt spent 1 hour and 30 minutes shoveling snow on Saturday morning and 45 minutes shoveling snow on Saturday afternoon.,How much total time did she spend shoveling snow?,Sum,135 (minutes),(1 (hour)*60 (min/hour)) = 60 (min); 60 + 30 + 45 = 135 
nluds-0151,2,http://www.k5learning.com,Mrs. Hilt bought 6 hot dogs. Each hot dog cost 50 cents.,How much money did she pay for all of the hot dogs?,Multiplication,300 (cents),6*50=300
nluds-0152,2,http://www.k5learning.com,Mrs. Hilt reads 13 books on every day that starts with the letters T and S.,How many books does she read in one week?,Multiplication,52 (books),13*4=52
nluds-0153,2,http://www.k5learning.com,Mrs. Hilt has 50 cents. A pencil costs 5 cents.,How many pencils can she buy with the money she has?,Common-Division,10 (pencils),50/5=10
nluds-0154,2,http://www.k5learning.com,"Mrs. Hilt saw 33 butterflies. Some of the butterflies were red and others were orange. If 20 of the butterflies were orange,",how many of them were red?,Subtraction,13 (butterflies),33-20=13
nluds-0155,2,http://www.k5learning.com,Mrs. Hilt bought a pencil for 17 cents. She used exactly minimized coins to buy the pencil.,How many coins did she use?,Sum,4 (coins),17/10=1 r7; 7/5=1 r2; 2/1=2; 1+1+2=4
nluds-0156,2,http://www.k5learning.com,Mrs. Hilt had 43 cents. She bought a pencil for 20 cents and a piece of candy for 5 cents.,How much money did she have left?,TVQ-Final,18 (cents),43-20-5=18
nluds-0157,2,http://www.k5learning.com,"On Tuesday, Mrs. Hilt saw 88 raisins on a tray in the cafeteria. That was 8 more raisins than she saw the day before.",How many raisins were on the table on Monday?,Subtraction,80 (raisins),88-8=80
nluds-0158,2,http://www.k5learning.com,"Mrs. Hilt bought carnival tickets. The tickets cost $1 for 4 tickets. If Mrs. Hilt bought 12 tickets,",how much did she pay?,Common-Division,3 (dollars),12/4=3
nluds-0159,2,http://www.k5learning.com,Mrs. Hilt bought 3 pizzas for $8 each.,What was the total amount she paid for the three pizzas?,Multiplication,24 (dollars),3*8=24
